0	0
1	0
2	0
3	1
4	1
5	0
6	0
7	1
8	1
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	1
20	0
21	1
22	1
23	0
24	1
25	0
26	1
27	1
28	1
29	0
30	1
31	0
32	1
33	0
34	1
35	1
36	1
37	1
38	0
39	1
40	0
41	1
42	1
43	0
44	0
45	1
46	0
47	0
48	1
49	0
50	1
51	1
52	1
53	1
54	0
55	1
56	0
57	0
58	0
59	0
60	1
61	0
62	0
63	1
64	0
65	0
66	1
67	0
68	1
69	0
70	1
71	0
72	1
73	0
74	1
75	1
76	1
77	1
78	0
79	1
80	0
81	1
82	1
83	1
84	1
85	1
86	1
87	0
88	0
89	0
90	0
91	0
92	1
93	1
94	1
95	0
96	0
97	0
98	0
99	1
100	0
101	1
102	1
103	0
104	1
105	0
106	1
107	0
108	1
109	0
110	0
111	0
112	1
113	1
114	1
115	1
116	0
117	1
118	1
119	1
120	1
121	0
122	0
123	1
124	0
125	1
126	0
127	0
128	1
129	0
130	1
131	1
132	1
133	1
134	1
135	0
136	1
137	0
138	1
139	1
140	0
141	0
142	0
143	1
144	1
145	0
146	0
147	1
148	0
149	1
150	1
151	1
152	1
153	1
154	1
155	1
156	0
157	0
158	1
159	1
160	1
161	1
162	1
163	0
164	1
165	1
166	1
167	0
168	0
169	1
170	1
171	0
172	1
173	1
174	0
175	1
176	1
177	0
178	0
179	0
180	1
181	0
182	1
183	1
184	1
185	1
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	1
195	1
196	0
197	0
198	1
199	1
200	1
201	1
202	0
203	0
204	1
205	1
206	0
207	1
208	1
209	0
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	0
218	0
219	1
220	1
221	1
222	0
223	0
224	1
225	1
226	1
227	1
228	0
229	1
230	0
231	0
232	0
233	1
234	1
235	0
236	1
237	0
238	1
239	0
240	1
241	1
242	0
243	0
244	1
245	0
246	1
247	1
248	1
249	1
250	1
251	0
252	0
253	1
254	1
255	0
256	0
257	0
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	0
268	1
269	1
270	1
271	1
272	1
273	0
274	0
275	1
276	1
277	1
278	1
279	1
280	1
281	0
282	1
283	0
284	1
285	0
286	0
287	1
288	0
289	0
290	1
291	1
292	0
293	1
294	0
295	1
296	1
297	1
298	1
299	1
300	0
301	1
302	1
303	1
304	1
305	1
306	0
307	1
308	0
309	0
310	0
311	0
312	0
313	0
314	1
315	0
316	0
317	0
318	0
319	1
320	1
321	1
322	1
323	1
324	0
325	0
326	0
327	0
328	1
329	1
330	1
331	0
332	1
333	1
334	0
335	1
336	1
337	0
338	1
339	0
340	1
341	1
342	0
343	0
344	1
345	0
346	0
347	1
348	1
349	0
350	0
351	1
352	1
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	1
361	0
362	0
363	0
364	0
365	1
366	0
367	0
368	1
369	0
370	1
371	1
372	0
373	1
374	0
375	1
376	0
377	1
378	0
379	0
380	1
381	1
382	0
383	0
384	0
385	0
386	0
387	1
388	1
389	1
390	1
391	0
392	0
393	0
394	1
395	1
396	1
397	0
398	0
399	1
400	1
401	0
402	1
403	1
404	1
405	1
406	1
407	1
408	0
409	1
410	1
411	0
412	0
413	1
414	1
415	1
416	0
417	0
418	1
419	1
420	0
421	0
422	1
423	0
424	1
425	0
426	0
427	0
428	1
429	0
430	0
431	1
432	1
433	0
434	1
435	0
436	1
437	1
438	0
439	0
440	1
441	0
442	1
443	1
444	1
445	0
446	1
447	0
448	0
449	0
450	1
451	1
452	1
453	1
454	0
455	0
456	1
457	0
458	1
459	1
460	0
461	1
462	1
463	0
464	1
465	1
466	0
467	1
468	0
469	0
470	0
471	1
472	0
473	0
474	0
475	0
476	0
477	0
478	1
479	0
480	1
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	1
490	1
491	0
492	1
493	1
494	0
495	1
496	0
497	1
498	0
499	0
500	1
501	0
502	1
503	0
504	0
505	0
506	0
507	0
508	1
509	1
510	1
511	0
512	1
513	0
514	1
515	1
516	1
517	1
518	0
519	1
520	1
521	1
522	1
523	0
524	1
525	0
526	1
527	1
528	0
529	1
530	1
531	0
532	0
533	0
